特性A,特性A中文,特性B,特性B中文,冲突类型,声明来源,状态,归属/处理
HSK_EarlyRiser,早起鸟,HSK_NightOwl,夜猫子,正负互斥, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HSK_Glutton,暴食者,HSK_HealthNut,养生者,正负互斥, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HSK_GymRat,健身狂,VTE_ThinSkinned,细皮嫩肉,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HSK_GymRat,健身狂,Wimp,懦夫,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HeatLover,高温嗜好,VTE_ColdInclined,嗜冷,冷热对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Industriousness,勤奋,Slow,缓慢,工作对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Kind,善良,VTE_MadSurgeon,疯医,善恶对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Medic,医疗大师,VTE_MadSurgeon,疯医,行医对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
NaturalMood,情绪稳定,Neurotic,神经质,情绪对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
NeatFreak,挑刺,VTE_Slob,邋遢鬼,整洁对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Nerves,心理坚韧,VTE_Anxious,忧虑,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Nerves,心理坚韧,VTE_Schizoid,精神分裂症,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Nerves,心理坚韧,Wimp,懦夫,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Perfectionist,完美主义者,VTE_Slob,邋遢鬼,整洁对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Reaver,格斗者,VTE_Coward,胆小鬼,怯懦对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Reaver,格斗者,Weak,柔弱,怯懦对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Reaver,格斗者,Wimp,懦夫,怯懦对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Religious,虔诚,VTE_AbsentMinded,胡思乱想,信仰对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Religious,虔诚,VTE_Insatiable,花心,信仰对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Religious,虔诚,VTE_Schizoid,精神分裂症,信仰对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Slow,缓慢,VTE_Workaholic,工作狂魔,工作对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Tough,粗暴,VTE_Anxious,忧虑,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Tough,粗暴,VTE_Schizoid,精神分裂症,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Tough,粗暴,Wimp,懦夫,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
VTE_AbsentMinded,胡思乱想,VTE_Prude,专一,信仰对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
VTE_ColdInclined,嗜冷,VTE_HeatInclined,嗜热,冷热对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
VTE_Prude,专一,VTE_Schizoid,精神分裂症,信仰对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Abrasive,尖刻,DIY,建筑工,原生互斥,DIY / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Diplomat,外交大师,原生互斥,Diplomat / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Fast,快速,原生互斥,Fast / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Kind,善良,原生互斥,Kind / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Abrasive,尖刻,Leader,命定领袖,原生互斥,Leader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Reaver,格斗者,原生互斥,Reaver / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Strong,强壮,原生互斥,Strong / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Trader,交易大师,原生互斥,Trader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Abrasive,尖刻,Weak,柔弱,原生互斥,Weak / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Aesthete,唯美主义,Ascetic,禁欲主义,原生互斥,Aesthete / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Allergic,厌恶动物,AnimalLover,喜欢动物,原生互斥,Allergic / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
AnimalLover,喜欢动物,Butcher,屠夫,原生互斥,Butcher / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
AnimalLover,喜欢动物,Psychopath,精神变态,原生互斥,AnimalLover / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
AnnoyingVoice,恼人的嗓音,Diplomat,外交大师,原生互斥,Diplomat / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
AnnoyingVoice,恼人的嗓音,Leader,命定领袖,原生互斥,Leader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
AnnoyingVoice,恼人的嗓音,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
AnnoyingVoice,恼人的嗓音,Trader,交易大师,原生互斥,Trader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Aptitude,协调,BrownThumb,园艺高手,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Butcher,屠夫,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Chemist,化学家,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Claustrophobic,幽闭恐惧症,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,DIY,建筑工,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Gourmet,美食家,原生互斥,Aptitude / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Industriousness,勤奋,原生互斥,Aptitude / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Aptitude,协调,Inventor,发明家,原生互斥,Inventor / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Nimble,身手敏捷,原生互斥,Aptitude / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Aptitude,协调,Perfectionist,完美主义者,原生互斥,Perfectionist / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Aptitude,协调,Rockhound,岩石猎手,原生互斥,Rockhound / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Ascetic,禁欲主义,Gourmand,美食家,原生互斥,Gourmand / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Ascetic,禁欲主义,Greedy,贪婪,原生互斥,Ascetic / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Ascetic,禁欲主义,Jealous,嫉妒,原生互斥,Ascetic / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Bipolar,极端,Leader,命定领袖,原生互斥,Bipolar / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Bipolar,极端,NaturalMood,情绪稳定,原生互斥,Bipolar / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Bipolar,极端,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
BodyPurist,身体纯净,Transhumanist,超人类主义者,原生互斥,BodyPurist / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Brawler,好斗,Fast,快速,原生互斥,Fast / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Brawler,好斗,Leader,命定领袖,原生互斥,Leader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Brawler,好斗,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Brawler,好斗,ShootingAccuracy,致命射手,原生互斥,ShootingAccuracy / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Brawler,好斗,Wimp,懦夫,原生互斥,Wimp / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
BrownThumb,园艺高手,Rockhound,岩石猎手,原生互斥,Rockhound / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Butcher,屠夫,Ignorant,愚笨,原生互斥,Butcher / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Butcher,屠夫,Naive,天真,原生互斥,Butcher / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Cannibal,食人癖,Pragmatist,实用至上,原生互斥,Pragmatist / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
ChaoticGenius,怪才,Dumb,傻子,原生互斥,ChaoticGenius / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
ChaoticGenius,怪才,FastLearner,悟性高,原生互斥,ChaoticGenius / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
ChaoticGenius,怪才,Ignorant,愚笨,原生互斥,Ignorant / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
ChaoticGenius,怪才,SlowLearner,迟钝学习,原生互斥,ChaoticGenius / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
ChaoticGenius,怪才,TooSmart,过于聪明,原生互斥,ChaoticGenius / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Chemist,化学家,Ignorant,愚笨,原生互斥,Chemist / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Claustrophobic,幽闭恐惧症,Rockhound,岩石猎手,原生互斥,Rockhound / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
ColdLover,低温嗜好,HeatLover,高温嗜好,原生互斥,HeatLover / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Confident,自信,Paranoid,偏执,原生互斥,Confident / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Confident,自信,Villian,恶棍,原生互斥,Villian / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Constitution,强健,Strong,强壮,原生互斥,Constitution / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Constitution,强健,Weak,柔弱,原生互斥,Constitution / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
CreepyBreathing,毛骨悚然,Diplomat,外交大师,原生互斥,Diplomat / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
CreepyBreathing,毛骨悚然,Trader,交易大师,原生互斥,Trader / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Cultist,信徒,Fanatic,狂热者,原生互斥,Cultist / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Cultist,信徒,PsychicSensitivity,灵能敏感,原生互斥,Cultist / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Cultist,信徒,Psychopath,精神变态,原生互斥,Cultist / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Cultist,信徒,Religious,虔诚,原生互斥,Cultist / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
DIY,建筑工,Ignorant,愚笨,原生互斥,DIY / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Diplomat,外交大师,Ignorant,愚笨,原生互斥,Diplomat / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dodging,反应迅捷,Nimble,身手敏捷,原生互斥,Dodging / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Dodging,反应迅捷,Slow,缓慢,原生互斥,Dodging / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dodging,反应迅捷,Strong,强壮,原生互斥,Dodging / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dodging,反应迅捷,Weak,柔弱,原生互斥,Dodging / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dumb,傻子,FastLearner,悟性高,原生互斥,Dumb / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Dumb,傻子,Ignorant,愚笨,原生互斥,Ignorant / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dumb,傻子,Inventor,发明家,原生互斥,Inventor / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Dumb,傻子,SlowLearner,迟钝学习,原生互斥,Dumb / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Dumb,傻子,TooSmart,过于聪明,原生互斥,Dumb / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Extrovert,外向,Introvert,害羞,原生互斥,Extrovert / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Extrovert,外向,Numb,无情,原生互斥,Extrovert / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Eyesight,鹰眼,Reaver,格斗者,原生互斥,Eyesight / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Eyesight,鹰眼,ShootingAccuracy,致命射手,原生互斥,Eyesight / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Faith,信念坚定,ShootingAccuracy,致命射手,原生互斥,Faith / 原生声明,已做(原生内建),鼠族×原版Core 跨mod交叉声明(生成期兜底校验)
Faith,信念坚定,Wimp,懦夫,原生互斥,Faith / 原生声明,已做(原生内建),鼠族×原版Core 跨mod交叉声明(生成期兜底校验)
Fanatic,狂热者,Naive,天真,原生互斥,Naive / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Fanatic,狂热者,Psychopath,精神变态,原生互斥,Fanatic / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Fanatic,狂热者,Religious,虔诚,原生互斥,Fanatic / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Fast,快速,Slow,缓慢,原生互斥,Slow / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Fast,快速,SpeedOffset,敏捷,原生互斥,Fast / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
FastLearner,悟性高,Ignorant,愚笨,原生互斥,Ignorant / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Fragile,脆弱,Tough,粗暴,原生互斥,Fragile / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Gourmet,美食家,Ignorant,愚笨,原生互斥,Gourmet / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Greedy,贪婪,Jealous,嫉妒,原生互斥,Jealous / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Hardened,强硬,Naive,天真,原生互斥,Hardened / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Hardened,强硬,Nerves,心理坚韧,原生互斥,Hardened / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Hardened,强硬,PainThreshold,痛不堪忍,原生互斥,PainThreshold / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Hardened,强硬,Paranoid,偏执,原生互斥,Paranoid / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Hardened,强硬,Pragmatist,实用至上,原生互斥,Pragmatist / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Hardened,强硬,Wimp,懦夫,原生互斥,Hardened / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Ignorant,愚笨,Inventor,发明家,原生互斥,Inventor / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Ignorant,愚笨,Medic,医疗大师,原生互斥,Medic / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Ignorant,愚笨,SlowLearner,迟钝学习,原生互斥,Ignorant / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Ignorant,愚笨,TooSmart,过于聪明,原生互斥,Ignorant / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Ignorant,愚笨,Trader,交易大师,原生互斥,Trader / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Industriousness,勤奋,Perfectionist,完美主义者,原生互斥,Perfectionist / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Introvert,害羞,Leader,命定领袖,原生互斥,Leader / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Introvert,害羞,Personality,天生领袖,原生互斥,Introvert / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Kind,善良,Psychopath,精神变态,原生互斥,Kind / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Kind,善良,Villian,恶棍,原生互斥,Villian / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Leader,命定领袖,Nerves,心理坚韧,原生互斥,Leader / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Leader,命定领袖,Numb,无情,原生互斥,Leader / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Leader,命定领袖,Nyctophobe,黑夜嗜好,原生互斥,Leader / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Leader,命定领袖,Personality,天生领袖,原生互斥,Leader / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Leader,命定领袖,PsychicSensitivity,灵能敏感,原生互斥,Leader / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Leader,命定领袖,Psychopath,精神变态,原生互斥,Leader / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Leader,命定领袖,Villian,恶棍,原生互斥,Villian / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Leader,命定领袖,Wimp,懦夫,原生互斥,Leader / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Masochist,受虐狂,Wimp,懦夫,原生互斥,Wimp / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Naive,天真,Numb,无情,原生互斥,Numb / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Naive,天真,Psychopath,精神变态,原生互斥,Naive / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Naive,天真,Reaver,格斗者,原生互斥,Naive / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Naive,天真,Villian,恶棍,原生互斥,Villian / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Nerves,心理坚韧,TooSmart,过于聪明,原生互斥,TooSmart / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Nimble,身手敏捷,Slow,缓慢,原生互斥,Slow / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Nimble,身手敏捷,Strong,强壮,原生互斥,Strong / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Nimble,身手敏捷,Weak,柔弱,原生互斥,Weak / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Numb,无情,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Numb,无情,Psychopath,精神变态,原生互斥,Numb / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Nyctophobe,黑夜嗜好,Personality,天生领袖,原生互斥,Personality / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
PainThreshold,痛不堪忍,Strong,强壮,原生互斥,PainThreshold / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
PainThreshold,痛不堪忍,Weak,柔弱,原生互斥,PainThreshold / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
PainThreshold,痛不堪忍,Wimp,懦夫,原生互斥,PainThreshold / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Personality,天生领袖,PsychicSensitivity,灵能敏感,原生互斥,Personality / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Personality,天生领袖,Psychopath,精神变态,原生互斥,Personality / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Personality,天生领袖,Villian,恶棍,原生互斥,Villian / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
Personality,天生领袖,Wimp,懦夫,原生互斥,Personality / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Pragmatist,实用至上,Psychopath,精神变态,原生互斥,Pragmatist / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
Psychopath,精神变态,Reaver,格斗者,原生互斥,Reaver / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Psychopath,精神变态,Religious,虔诚,原生互斥,Religious / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Pyromaniac,纵火狂,Pyrophobia,恐火症,原生互斥,Pyrophobia / 原生声明,已做(原生内建),原版Core×核SK 跨mod交叉声明(生成期兜底校验)
Slow,缓慢,SpeedOffset,敏捷,原生互斥,Slow / 原生声明,已做(原生内建),核SK×原版Core 跨mod交叉声明(生成期兜底校验)
SlowLearner,迟钝学习,TooSmart,过于聪明,原生互斥,SlowLearner / 原生声明,已做(原生内建),"原版Core 原样已内建,无需改"
Strong,强壮,Weak,柔弱,原生互斥,Weak / 原生声明,已做(原生内建),"核SK 原样已内建,无需改"
