类型,键,变体,文本
Scene,gardening,1,{PAWN_nameDef}先把倒伏的支架一根根重新插牢，然后掐掉发黄的外叶，接着把水壶的口对准根部而不是叶子。路过的人说起这片苗床，都说是被{PAWN_nameDef}喂大的。
Head,gardening,2,数着芽的
Scene,gardening,2,{PAWN_nameDef}先扒开表土看了一遍根，然后把虫咬的几片叶子摘下来丢进堆肥桶，接着在记录板上画了一横。一天里{PAWN_nameDef}要回苗床三四趟。
Head,gardening,3,留种的人
Scene,gardening,3,{PAWN_nameDef}先把长得最差的几株单独拔出来，然后挑出最稳产的那一批挂绳做记号，接着把晒好的种子装进玻璃罐。别人的菜够吃就行，{PAWN_nameDef}要的是明年还这样。
Head,gardening,4,换土的
Scene,gardening,4,{PAWN_nameDef}先把板结的表层刮掉一层，然后混进堆肥和骨灰翻匀，接着把苗一棵棵扶回原处。手洗干净之后{PAWN_nameDef}指甲缝里还是有土。
Head,butchery,1,提分骨刀的
Scene,butchery,1,{PAWN_nameDef}先把皮从后腿那道口子往下剥，然后顺着关节把肋排拆成一条一条，接着把肠子冲干净挂到架子上。收工后{PAWN_nameDef}在井边把围裙搓了两遍。
Head,butchery,2,称重量的
Scene,butchery,2,{PAWN_nameDef}先把秤钩挂上肉挂，然后削掉发暗的那层脂肪，接着把分好的肉按号码推进冷库。{PAWN_nameDef}报出的重量没人需要再核一遍。
Head,butchery,3,磨刀的
Scene,butchery,3,{PAWN_nameDef}先把刀在磨石上来回推了三十下，然后割开一层薄膜试刃口，接着把剔下的骨头码进桶里。刀具架上有专属于{PAWN_nameDef}的那一格。
Head,butchery,4,记头数的
Scene,butchery,4,{PAWN_nameDef}先把今天的编号写到木牌上，然后翻开眼皮和牙齿看了一遍状况，接着把名单交给管仓的人。说到哪一头时{PAWN_nameDef}用的是编号不是名字。
Head,television,1,占着沙发那头的
Scene,television,1,{PAWN_nameDef}先把遥控器上的橡胶按键按得发亮，然后往靠背后面塞了两块垫布，接着把脚边的空罐踢到一边。屏幕关了以后{PAWN_nameDef}还坐在原位看了一会儿发黑的玻璃。
Head,television,2,补完最后一集的
Scene,television,2,{PAWN_nameDef}先把音量调到刚好听得清又不吵到人，然后把晚饭端到茶几上，接着把要说的话留到广告时间再说。别人叫{PAWN_nameDef}搭把手，回答都是等一下。
Head,television,3,守着信号杆的
Scene,television,3,{PAWN_nameDef}先爬到屋顶把天线的朝向偏了两指，然后回屋把雪花点看成清晰画面，接着记住这集停在哪里才走。第二天{PAWN_nameDef}接着从那一段看下去。
Head,television,4,看旧带的
Scene,television,4,{PAWN_nameDef}先从柜里翻出一盘磨白了的影带，然后吹掉接口上的灰插进去，接着把灯全关掉。片尾曲响完{PAWN_nameDef}又把它倒回去重看一遍。
Head,alcohol,1,温着酒的
Scene,alcohol,1,{PAWN_nameDef}先把柜门最里那瓶摸出来，然后给自己倒了小半杯，接着把盖子旋回去藏到干草底下。开工之前{PAWN_nameDef}要先去确认它还在不在。
Head,alcohol,2,拿搪瓷缸喝的
Scene,alcohol,2,{PAWN_nameDef}先把麦汁倒进缸子，然后蹲到门口把它喝完，接着又去酿桶边转了一圈。手边没杯子时{PAWN_nameDef}会直接对着桶沿。
Head,alcohol,3,睡前必须来一杯的
Scene,alcohol,3,{PAWN_nameDef}先把靴子蹬到床脚底下，然后从枕头下面摸出小瓶，接着把塞子用牙咬开。哪天那一瓶被人提前喝了，{PAWN_nameDef}一整天都坐立不安。
Head,alcohol,4,赊酒的
Scene,alcohol,4,{PAWN_nameDef}先把银钱在掌心里数了两遍，然后指着最烈的要了一瓶，接着坐到门边慢慢喝完。商人再来时{PAWN_nameDef}开口第一句就问带够了没有。
Head,smokeleaf,1,卷烟的
Scene,smokeleaf,1,{PAWN_nameDef}先把干叶在掌心搓碎，然后撕下一条纸把它卷紧，接着用指甲封住口。{PAWN_nameDef}口袋里永远有一小包压得扁扁的碎叶。
Head,smokeleaf,2,饭后那一根的
Scene,smokeleaf,2,{PAWN_nameDef}先把碗推到桌子中间，然后从怀里摸出卷好的叶子点着，接着把椅子往后挪了挪靠着。谁收走{PAWN_possessive}那点存货，{PAWN_nameDef}会当场翻脸。
Head,smokeleaf,3,躲到烟囱后面的
Scene,smokeleaf,3,{PAWN_nameDef}先把门带上绕到屋后，然后抬头看烟从囱口出去没有，接着蹲下来慢慢抽完。回到屋里{PAWN_nameDef}先把手在裤子上擦了两下。
Head,smokeleaf,4,拿叶子抵工的
Scene,smokeleaf,4,{PAWN_nameDef}先把烟叶称好交给管仓的人，然后把剩下的碎末装进自己的罐子，接着在名单上按了个记号。谈条件时{PAWN_nameDef}会先把罐子往桌上一放。
Head,harddrugs,1,数药片的
Scene,harddrugs,1,{PAWN_nameDef}先把锡纸上的九粒按顺序划成三份，然后收好两瓶标签不同的，接着把多余的塞进靴筒。做选择之前{PAWN_nameDef}要先把瓶子拿起来看一遍。
Head,harddrugs,2,先打一针再干活的
Scene,harddrugs,2,{PAWN_nameDef}先把针头对着光排掉气泡，然后卷起袖子在手臂上拍了一下，接着把空瓶丢进铁盒。干不进活时{PAWN_nameDef}会去翻那个铁盒。
Head,harddrugs,3,要快的那种
Scene,harddrugs,3,{PAWN_nameDef}先把白色的粉末倒在台面上分成两堆，然后嗅了嗅皱起鼻子，接着低头吸了一口。之后{PAWN_nameDef}能在两天里不睡也不吃。
Head,harddrugs,4,混着吃的
Scene,harddrugs,4,{PAWN_nameDef}先把两种瓶子各倒出一指深，然后混进半杯甜水里搅开，接着仰头喝完。第二天{PAWN_nameDef}想不起自己说过什么话。
Head,chemistry,1,守着反应瓶的
Scene,chemistry,1,{PAWN_nameDef}先把蒸馏瓶卡进铁夹，然后在下面的锅里撒了一把盐，接着用指甲敲了敲管壁听声。配方卡上被{PAWN_nameDef}添了一整列自己的批注。
Head,chemistry,2,记颜色的
Scene,chemistry,2,{PAWN_nameDef}先把试管对着窗光举起来，然后往里面滴了两滴试剂，接着把变色的那几支单独摆到架上。别人问起时{PAWN_nameDef}报得出每一种颜色。
Head,chemistry,3,闻气味的
Scene,chemistry,3,{PAWN_nameDef}先把护目镜推上去，然后在瓶口用手扇了一口气过来，接着把盖子拧紧放回原处。仓里哪一批不合规{PAWN_nameDef}走一遍就知道了。
Head,chemistry,4,控温的
Scene,chemistry,4,{PAWN_nameDef}先把炉温降了指纹那么厚，然后把投料的速度放慢，接着在旁边等它冷到能上手。烧坏的那一炉{PAWN_nameDef}留了半瓶作对比。
Head,cooking,1,尝咸淡的
Scene,cooking,1,{PAWN_nameDef}先把汤勺在碗沿上磕了两下，然后尝了一口又加了半撮盐，接着把火调小让它自己收汁。同一锅里{PAWN_nameDef}会分两个火口各留一份。
Head,cooking,2,分盘的
Scene,cooking,2,{PAWN_nameDef}先把粗餐分给干重活的人，然后把剩下的三份装进陶盘，接着在顶上摆了几片腌果。打饭时{PAWN_nameDef}会问今天想吃点什么。
Head,cooking,3,备料的
Scene,cooking,3,{PAWN_nameDef}先把肉按厚度片成三档，然后把根菜切成一样的块，接着把香草捆好挂到钩上。别人下锅前{PAWN_nameDef}已经把料按次序摆齐。
Head,cooking,4,留底味的
Scene,cooking,4,{PAWN_nameDef}先把前一天剩的汤底倒回锅里，然后补了一把骨渣，接着守着小火煨了两个钟头。新那一锅没加什么东西就已经有味道。
Head,research,1,不肯下台的
Scene,research,1,{PAWN_nameDef}先把记录板的纸翻过一页，然后把台子的读数抄进自己的本子，接着在进度前又站了一会儿。睡前{PAWN_nameDef}会去确认台子还没停。
Head,research,2,重算一遍的
Scene,research,2,{PAWN_nameDef}先把别人算过的数据重新敲进终端，然后核了三遍小数点，接着把自己那处不同单独标出来。那一处最后证明{PAWN_nameDef}是对的。
Head,research,3,抄近道的
Scene,research,3,{PAWN_nameDef}先把旧笔记找出来翻了一遍，然后跳过两个自认为没用的分支，接着把剩下的步骤改短一截。省下的时间{PAWN_nameDef}又开了一项。
Head,research,4,半夜回来改的
Scene,research,4,{PAWN_nameDef}先把写歪的那一行划掉，然后把新的图纸重新描了一遍，接着夹到门边的板子上。天亮之前{PAWN_nameDef}又回来看了一次。
Head,medicine,1,缝口的
Scene,medicine,1,{PAWN_nameDef}先把针在灯上燎过一遍，然后把创缘的两边对齐捏住，接着走了一排细密的针脚。换药时{PAWN_nameDef}记得上一次线结打在哪一头。
Head,medicine,2,分药量的
Scene,medicine,2,{PAWN_nameDef}先把病人按轻重排了次序，然后从瓶里倒出正好一半的分量，接着在木牌上写了服第二次的时间。有人多吃一粒{PAWN_nameDef}当天就发现。
Head,medicine,3,按住伤员的
Scene,medicine,3,{PAWN_nameDef}先把布条咬在嘴里当垫，然后把伤员的肩膀往下压，接着在喊声中把碎片挑出来。做完{PAWN_nameDef}才松开自己的牙。
Head,medicine,4,夜里换药的
Scene,medicine,4,{PAWN_nameDef}先把床边的水盆换了一遍，然后把纱布从外圈往里揭，接着凑近闻了一下创口。第二天{PAWN_nameDef}第一件事就是去那张床。
Head,handcraft,1,量两遍的
Scene,handcraft,1,{PAWN_nameDef}先把墨线在木料上弹了一遍，然后又用尺把那道线量了一次，接着才落刀。差过一毫米的东西{PAWN_nameDef}会拆掉重来。
Head,handcraft,2,挑纹路的
Scene,handcraft,2,{PAWN_nameDef}先把刨花吹开看纹理走向，然后把这一面朝外摆好，接着把另一块挪到背面去。做完{PAWN_nameDef}还会翻过来再看一次。
Head,handcraft,3,收边的人
Scene,handcraft,3,{PAWN_nameDef}先把接缝的毛口刮平，然后搓了一小撮蜡抹上去，接着用指甲把多余的刮净。别人手上那件{PAWN_nameDef}一眼看得出哪一步省了。
Head,handcraft,4,不肯交次的
Scene,handcraft,4,{PAWN_nameDef}先把做好的那件拿起来斜着看光，然后放回去又改了一处，接着在名单上把自己那格往后挪。挪了三次{PAWN_nameDef}才交出去。
Head,cleaning,1,顺走道的
Scene,cleaning,1,{PAWN_nameDef}先把地上的碎木踢到一边，然后蹲下去把缝里的沙土抠出来，接着把水桶提到下一段。走道里有几块地砖是{PAWN_nameDef}专门擦过的。
Head,cleaning,2,擦第二遍的
Scene,cleaning,2,{PAWN_nameDef}先把桌面的水渍抹开，然后等它干了再擦一遍，接着把边角的灰挑出来。擦完之后{PAWN_nameDef}会背着手站在那儿看一眼。
Head,cleaning,3,管脏衣筐的
Scene,cleaning,3,{PAWN_nameDef}先把泡烂的那几件捞出来单独搓，然后把锅灰和血渍分开处理，接着把晾好的按人分堆。谁把脏衣扔在地上{PAWN_nameDef}会当场叫住{PAWN_objective}。
Head,cleaning,4,堵老鼠洞的
Scene,cleaning,4,{PAWN_nameDef}先把仓房角落的碎草清出去，然后塞进一团浸了油的布，接着把木箱抬离墙面两指。别人以为仓库干净是运气，其实是{PAWN_nameDef}每周走一遍。
Head,construction,1,先下地基的
Scene,construction,1,{PAWN_nameDef}先把草皮揭掉一层，然后把石灰撒出四角，接着把第一块条石压进泥里。墙起来以后{PAWN_nameDef}会挨面敲上去听声。
Head,construction,2,上梁的
Scene,construction,2,{PAWN_nameDef}先把绳子在肩上过了一遍，然后踩着立柱爬上去卡住榫口，接着在顶上喊落钩的方向。框架立起来那天{PAWN_nameDef}绕着它走了两圈。
Head,construction,3,补漏顶的
Scene,construction,3,{PAWN_nameDef}先把翘起的铁皮按下去，然后钉上两枚新钉，接着把碎沥青抹在缝上。第二天雨点打下来时{PAWN_nameDef}抬头听了一会儿。
Head,construction,4,划线的人
Scene,construction,4,{PAWN_nameDef}先把墨斗线拉到另一端，然后弹出一道白印，接着蹲下来看它是不是直的。别人建歪的地方{PAWN_nameDef}宁可拆了自己再砌一遍。
Head,mining,1,贴壁听的
Scene,mining,1,{PAWN_nameDef}先把灯笼压低照着掌子面，然后把耳朵贴到岩壁上，接着在石头上画了一个圈。往下三格正好是脉。
Head,mining,2,敲反光面的
Scene,mining,2,{PAWN_nameDef}先把浮石铲到一边，然后凿下一片带亮点的岩面，接着把它装进自己的口袋。回到地面{PAWN_nameDef}第一件事是摊开手掌看那一片。
Head,mining,3,撑木架的
Scene,mining,3,{PAWN_nameDef}先把顶板的碎屑扫掉，然后把立柱的角度偏了两分，接着用槌把它敲到位。别人从{PAWN_nameDef}撑过的地方走过时不用抬头。
Head,mining,4,认石头味的
Scene,mining,4,{PAWN_nameDef}先把矿石舔了一下嘴角，然后把粉末捻开闻了闻，接着把这一堆单独归成一类。矿车装错时{PAWN_nameDef}会喊停。
Head,melee,1,贴着打的
Scene,melee,1,{PAWN_nameDef}先把刀柄往掌心里顶了顶，然后侧身让过第一下，接着把肩撞进对手怀里。打完{PAWN_nameDef}先回头看自己有没有还站着。
Head,melee,2,换握法的
Scene,melee,2,{PAWN_nameDef}先把缠绳的手柄绕了两道，然后在地上蹭掉鞋底的泥，接着把重心压到后脚。对面冲过来时{PAWN_nameDef}已经站定了。
Head,melee,3,听完风声的
Scene,melee,3,{PAWN_nameDef}先把呼吸压下去听那一下破风，然后把身子往左偏了半掌，接着反手把肘送进对方喉咙。收手时{PAWN_nameDef}先看了看自己手腕有没有肿。
Head,melee,4,把架式教下去的
Scene,melee,4,{PAWN_nameDef}先把新人的握法纠正了三遍，然后按住对方的肩演示怎么挨打不倒，接着让{PAWN_objective}自己再来十次。训练场上{PAWN_nameDef}喊得最久。
Head,dodging,1,偏半掌的
Scene,dodging,1,{PAWN_nameDef}先把肩膀松下去，然后在刀到之前偏了半掌，接着借对手自己的冲力把{PAWN_objective}带到地上。事后{PAWN_nameDef}只是拍了拍手上的土。
Head,dodging,2,看肩不看刀的
Scene,dodging,2,{PAWN_nameDef}先把眼睛从刃口挪到对方肩头，然后朝外侧退了一步，接着在对方收不住时伸手推了一把。{PAWN_nameDef}的衣服基本没脏。
Head,dodging,3,往低处滚的
Scene,dodging,3,{PAWN_nameDef}先把膝一弯沉下去，然后顺着挥空的那一下滚到腿外侧，接着抓一把沙土扬起来。站起来时{PAWN_nameDef}已经换到背靠墙的位置。
Head,dodging,4,不接第一下的
Scene,dodging,4,{PAWN_nameDef}先向后斜了两步把节奏拖乱，然后等对方换手的空隙贴近，接着把{PAWN_objective}的手腕拧到背后。别人问起{PAWN_nameDef}说第一下最不该硬接。
Head,shooting,1,先吸气的
Scene,shooting,1,{PAWN_nameDef}先把枪托抵进肩窝，然后吸半口气慢慢放掉，接着在呼气尽头扣下去。靶上的弹孔挤在一个指掌的圈里。
Head,shooting,2,算风偏的
Scene,shooting,2,{PAWN_nameDef}先把草茎举到风里看方向，然后把准星往旁边挪了一指，接着打完三发。{PAWN_nameDef}把这一场的风记在了枪托侧面。
Head,shooting,3,省子弹的
Scene,shooting,3,{PAWN_nameDef}先把距离数了两遍，然后等目标走进那排树之间才抬枪，接着只放了一发。别人开到第五枪时{PAWN_nameDef}还没打完一匣。
Head,shooting,4,夜里听响的
Scene,shooting,4,{PAWN_nameDef}先把枪口压到栅栏横木那一格，然后听着脚步靠过来才动，接着朝声音最闷的地方打。天亮检查时{PAWN_nameDef}在雪地上找到了那具。
Head,killing,1,擦完再收的
Scene,killing,1,{PAWN_nameDef}先把刀刃在草上蹭了两下，然后把血从指缝里抹干净，接着把刀插回鞘里。回到营地{PAWN_nameDef}先找水喝，不是去洗手。
Head,killing,2,翻口袋的
Scene,killing,2,{PAWN_nameDef}先把地上的那只手翻过来看了看指甲，然后从外套口袋里摸出钱袋，接着把身份牌收进自己的盒子。做这些时{PAWN_nameDef}的节奏和平时一样。
Head,killing,3,不闭眼的
Scene,killing,3,{PAWN_nameDef}先把对方的眼睛撑开看了一遍，然后把那张脸记下来，接着在墙内侧刻了一横。别人问刻了多少，{PAWN_nameDef}说要回去数。
Head,killing,4,顺手理头发的
Scene,killing,4,{PAWN_nameDef}先把溅到额前的一缕头发拨开，然后把枪口朝下走回来，接着问今天还有几趟活。说完{PAWN_nameDef}自己先笑了一下。
Head,cruelty,1,掀开布单的
Scene,cruelty,1,{PAWN_nameDef}先把盖在脸上的布单掀到一边，然后把灯拉到近处照着开口，接着伸手进去摸肋骨的位置。台子上的人醒了一半，{PAWN_nameDef}让{PAWN_objective}再躺回去。
Head,cruelty,2,按号码摆的
Scene,cruelty,2,{PAWN_nameDef}先把取下来的东西依次放进盐水盆，然后在木牌上写了号码，接着把盆端到阴凉处。{PAWN_nameDef}从不提这些东西原先在谁身上。
Head,cruelty,3,叫人多按一会儿的
Scene,cruelty,3,{PAWN_nameDef}先把绳子在床腿上绕了两圈，然后把刀口的位置比了一下，接着回头让旁人再按住一会儿。{PAWN_nameDef}说这样刀才不会抖。
Head,cruelty,4,量得刚好的人
Scene,cruelty,4,{PAWN_nameDef}先把翻开的皮肉把角度摆正，然后沿着上一条线接着切，接着在合适的位置停手。缝回去之后{PAWN_nameDef}还检查了两边是否对称。
Head,lovemaking,1,换床伴的
Scene,lovemaking,1,{PAWN_nameDef}先把别人的外套从自己床上拿走，然后把新的一件挂到门后，接着把昨晚剩下的半壶水分给{PAWN_objective}。第二天{PAWN_nameDef}已经坐到另一张桌边了。
Head,lovemaking,2,不睡第二晚的
Scene,lovemaking,2,{PAWN_nameDef}先把散在地上的鞋摆正，然后在天亮前从窗口翻出去，接着到井边洗了脸当作什么都没发生。谁再提，{PAWN_nameDef}会换个话题。
Head,lovemaking,3,挑人的
Scene,lovemaking,3,{PAWN_nameDef}先把灯芯挑亮了一些，然后把酒推到对面那人手边，接着把手搭到{PAWN_possessive}椅背上。等第三次时{PAWN_nameDef}找的面孔又换了。
Head,lovemaking,4,数得清的
Scene,lovemaking,4,{PAWN_nameDef}先把那些名字在心里过了一遍，然后在本子上又添了一笔，接着把纸合上塞回枕下。有人问起人数时{PAWN_nameDef}答得比谁都快。
Head,socializing,1,递水的
Scene,socializing,1,{PAWN_nameDef}先把水壶递给站得最远的那个人，然后把{PAWN_objective}没说完的半句接下去，接着替{PAWN_objective}把椅子挪近了一点。谁饿了{PAWN_nameDef}会自己去看灶上还有没有。
Head,socializing,2,记得事的人
Scene,socializing,2,{PAWN_nameDef}先把别人随口说的那句牢骚记住，然后从自己那份里匀出一块递过去，接着什么也没解释。有人生病到第三天{PAWN_nameDef}会把汤端过去。
Head,socializing,3,劝架的
Scene,socializing,3,{PAWN_nameDef}先把两人中间那把椅子抽走，然后把其中一人拉到门外，接着把话说给另一人听。散开时{PAWN_nameDef}答应两边都不转述。
Head,socializing,4,把话头让出去的
Scene,socializing,4,{PAWN_nameDef}先把刚到嘴边的话咽回去，然后朝对面那人点头示意{PAWN_objective}接着说，把自己那份吃食推了过去。桌边冷场时{PAWN_nameDef}会自己接住。
Head,trading,1,先问需求的
Scene,trading,1,{PAWN_nameDef}先把商人领到仓房最空的那面墙，然后指着两筐问价，接着把价格抬高三成再松手。成交时{PAWN_nameDef}已经算清下次该还什么。
Head,trading,2,翻货堆的
Scene,trading,2,{PAWN_nameDef}先把最上层的好货拨到一边，然后掀开底下看压着什么，接着拿一块在手里掂了掂。商人知道在{PAWN_nameDef}面前瞒不住。
Head,trading,3,换零头的
Scene,trading,3,{PAWN_nameDef}先把银块在石头上磕出个小口，然后用布擦了擦看断面，接着把碎银按分量分到桌上。找零时{PAWN_nameDef}会数两遍。
Head,trading,4,记人脸的
Scene,trading,4,{PAWN_nameDef}先把上次那人的名字复述了一遍，然后把货单按来路排在桌上，接着挑最缺的那样先谈。谈完{PAWN_nameDef}把对方报的价记到木板上。
Head,diplomacy,1,先让对方坐的
Scene,diplomacy,1,{PAWN_nameDef}先把椅子搬到桌前给来客，然后倒了一杯推过去，接着把自己要说的话往后压了一段。眼看要谈崩时{PAWN_nameDef}先把门打开透风。
Head,diplomacy,2,换说法的
Scene,diplomacy,2,{PAWN_nameDef}先把对方那句带火气的话改成一个中性的词，然后照这个词重新提了一遍，接着看两边各自的脸色。同一句{PAWN_nameDef}能换四种说法讲。
Head,diplomacy,3,留面子的
Scene,diplomacy,3,{PAWN_nameDef}先把有错那方的名字挡到自己身后，然后提出一个两边都能算成赢的数目，接着让两边先签字。散场时{PAWN_nameDef}谁也不送。
Head,diplomacy,4,把账摊开的
Scene,diplomacy,4,{PAWN_nameDef}先把两本账并排放到桌上，然后用指点出对不上的那一行，接着抬头问谁愿意先动。{PAWN_nameDef}说数字不用吵架。
Head,animals,1,蹲下说话的
Scene,animals,1,{PAWN_nameDef}先把身体低下去与畜头齐平，然后把手背伸到{PAWN_possessive}鼻子前，接着才去摸那道颈骨。头回见{PAWN_nameDef}的牲口两天后就肯跟着{PAWN_objective}走。
Head,animals,2,换草料的
Scene,animals,2,{PAWN_nameDef}先把发霉的那一把挑出来丢掉，然后添上晒过的那捆，接着把水槽挪远了一点。畜群听见{PAWN_nameDef}的脚步会先抬起头。
Head,animals,3,抱回屋里焐的
Scene,animals,3,{PAWN_nameDef}先把冻僵的幼崽塞进自己衣襟，然后往炉边挪出半个坐位，接着守到它自己站起来。别人说不划算时{PAWN_nameDef}把幼崽抱得更紧。
Head,animals,4,梳毛的人
Scene,animals,4,{PAWN_nameDef}先把背上结的草籽梳下来，然后翻开耳朵检查有没有蜱，接着把蹄缝里的小石子挑出去。上鞍之前{PAWN_nameDef}一定要先梳这一遍。
Head,animalabuse,1,踢翻食槽的
Scene,animalabuse,1,{PAWN_nameDef}先把食槽一脚踢翻，然后拎起那头站不住的往石头上掼，接着把刀口按到{PAWN_possessive}脖子上。畜栏的人往后退了一步给{PAWN_nameDef}让路。
Head,animalabuse,2,当靶子的
Scene,animalabuse,2,{PAWN_nameDef}先把拴着的牲口牵到空地，然后退开二十步举起枪，接着笑着看那一枪打偏到哪里。{PAWN_nameDef}说这是练手。
Head,animalabuse,3,拿皮换酒的
Scene,animalabuse,3,{PAWN_nameDef}先把还带着毛的皮卷起来，然后与商人换了半瓶烈酒，接着坐到门边朝着畜栏的方向喝。谁劝{PAWN_nameDef}会把手里的刀转一圈。
Head,animalabuse,4,嫌叫得烦的
Scene,animalabuse,4,{PAWN_nameDef}先在耳朵边上落了一刀很浅的口，然后听它又叫了一声，接着又补了一刀。做完{PAWN_nameDef}说这样总算安静了。
Head,stealing,1,绕开人的
Scene,stealing,1,{PAWN_nameDef}先把哨位换班那两分钟算好，然后从仓房后窗伸进胳膊，接着把东西塞进外套内衬。第二天{PAWN_nameDef}还第一个进去点名。
Head,stealing,2,顺手那一下的
Scene,stealing,2,{PAWN_nameDef}先把桌上的零钱拨到掌心，然后借整理桌布的动作把它带起来，接着走人。事后{PAWN_nameDef}回头问有没有人看见自己的钱包。
Head,stealing,3,翻别人抽屉的
Scene,stealing,3,{PAWN_nameDef}先把门闩用一片薄木挑开，然后摸到柜里那一格，接着把别的东西原样摆好再合上盖子。别人少了一样时{PAWN_nameDef}比谁都急着帮着找。
Head,stealing,4,留假账的
Scene,stealing,4,{PAWN_nameDef}先在领料单上多写了两格，然后把笔迹描淡，接着把纸倒回原来的角度。晚上{PAWN_nameDef}把多出来的那份分到厨房去。
Head,finefood,1,挑出碎末的
Scene,finefood,1,{PAWN_nameDef}先把盘边那一圈酱汁抹开尝了一遍，然后用刀尖挑出不合口味的碎末，接着要了半罐腌果收尾。粗餐端上来时{PAWN_nameDef}会先放下勺子。
Head,finefood,2,要第二次调味的
Scene,finefood,2,{PAWN_nameDef}先把盐罐拿在手里停了两秒，然后往盘里撒了一点点，接着把罐子递给对面的人。{PAWN_nameDef}说这一份还差一层。
Head,finefood,3,分着尝的
Scene,finefood,3,{PAWN_nameDef}先把厨子刚出锅那一勺截下来，然后分成三个小碟让三个人尝，接着自己先闭眼那一下。之后{PAWN_nameDef}绕去仓里挑装盘的碗。
Head,finefood,4,不肯吃完的
Scene,finefood,4,{PAWN_nameDef}先把最后一口的分量留在盘里，然后倒掉那杯兑了水的酒，接着把盘子推到桌中间。别人问起{PAWN_nameDef}说已经饱了。
Head,heatwork,1,脱到只剩汗衫的
Scene,heatwork,1,{PAWN_nameDef}先把袖子挽到肘上两节，然后把汗衫下摆扯出来抖了抖，接着站到炉口正对的那边。别人躲阴凉时{PAWN_nameDef}往更亮的地方凑。
Head,heatwork,2,晒着喝水的
Scene,heatwork,2,{PAWN_nameDef}先把水桶搬到日头底下的空地，然后灌了一口含着没咽，接着回头把砖码完最后一层。{PAWN_nameDef}说屋里干活闷得慌。
Head,heatwork,3,守窑的那一个
Scene,heatwork,3,{PAWN_nameDef}先把窑口的堵泥重新抹了一遍，然后把脸凑到缝前看里面的火色，接着挪了个坐位挡住风口。夜里{PAWN_nameDef}就睡在窑墙外那半边。
Head,heatwork,4,嫌天不够热的
Scene,heatwork,4,{PAWN_nameDef}先把窗板全部推开，然后把床挪到日头晒得到的那块地上，接着抱怨今天风太凉。降温那几天{PAWN_nameDef}反而不想动弹。
Head,coldwork,1,不戴手套的
Scene,coldwork,1,{PAWN_nameDef}先把袖口扎紧，然后在雪地上直接跪下去量间距，接着用指节敲了敲冻住的接口。有人递手套给{PAWN_nameDef}，{PAWN_objective}摆手说戴着不灵。
Head,coldwork,2,睡在外屋的
Scene,coldwork,2,{PAWN_nameDef}先把火盆端出门外，然后把门留了一条缝，接着把毯子拉到下巴。早上别人挤在炉边时{PAWN_nameDef}已经劈完一堆柴。
Head,coldwork,3,往风口去的
Scene,coldwork,3,{PAWN_nameDef}先把栅栏的迎风面重新检查了一遍，然后站到缺口处试了试那股风，接着把木桩再砸深一寸。天越白{PAWN_nameDef}话越少。
Head,coldwork,4,喜欢呵白气的
Scene,coldwork,4,{PAWN_nameDef}先把铁皮栏杆上的霜刮下来舔了一下，然后呼出一大团白气看它散开，接着把手伸到栏杆外面去。屋里烧得太旺时{PAWN_nameDef}会开窗睡。
Head,eatingspeed,1,两口一份的
Scene,eatingspeed,1,{PAWN_nameDef}先把勺子插进盘子中间，然后低头连着推了两口，接着把杯子端到嘴边一仰。碗底还没看清{PAWN_nameDef}已经站起来了。
Head,eatingspeed,2,先抢位置的
