defName,中文名,英文名,来源,程度数,常见度,类别,倾向,冲突特质,全程度,加成/惩罚,描述,因果经历标签
HSK_EarlyRiser,早起鸟,early riser,HSK,1,0,其他,中性,夜猫子,early riser,statFactors:WorkSpeedGlobal,{PAWN_nameDef} greets the dawn before the world wakes. The quiet first light is where {PAWN_possessi,
HSK_Glutton,暴食者,glutton,HSK,1,0,其他,中性,养生者、Ascetic,glutton,statOffsets:MentalBreakThreshold,"{PAWN_nameDef} cannot resist a full plate, no matter the cost. Rations, preserves, the last of {PAWN",
HSK_GymRat,健身狂,gym rat,HSK,1,0,其他,中性,Wimp、细皮嫩肉,gym rat,statFactors:MeleeDamageFactor,{PAWN_nameDef} spends every spare moment training. Iron discipline has turned {PAWN_possessive} body,
HSK_HealthNut,养生者,health nut,HSK,1,0,其他,中性,暴食者、Gourmand,health nut,statOffsets:MentalBreakThreshold,"{PAWN_nameDef} treats the body as a temple. Fresh food, clean water, measured effort - {PAWN_pronoun",
HSK_Meditator,禅修者,meditator,HSK,1,0,其他,中性,Bloodlust,meditator,"statOffsets:MentalBreakThreshold,PainShockThreshold",{PAWN_nameDef} sits in stillness and lets the noise of the colony fall away. What disturbs others me,
HSK_Musician,乐手,musician,HSK,1,0,其他,中性,,musician,statFactors:SocialImpact,{PAWN_nameDef} fills the colony with music. Rhythms and melodies follow {PAWN_objective} through the,
HSK_NightOwl,夜猫子,night owl,HSK,1,0,其他,中性,早起鸟,night owl,statFactors:WorkSpeedGlobal,{PAWN_nameDef} is most alive in the hours others sleep. The dark is not a wall for {PAWN_objective};,
HSK_Tactician,策略家,tactician,HSK,1,0,其他,中性,,tactician,"statFactors:SocialImpact,WorkSpeedGlobal",{PAWN_nameDef} sees every situation as a board to be won. A love of games has sharpened {PAWN_posses,
Introvert,害羞,shy,核SK,1,0.4,其他,中性,外向、天生领袖、命定领袖,shy,statFactors:SocialIdeoSpreadFrequencyFactor,{PAWN_nameDef} is exceptionally shy.,
Inventor,发明家,inventor,核SK,1,0.3,其他,中性,协调、愚笨、傻子,inventor,"statOffsets:ResearchSpeed,WorkSpeedGlobal,MoveSpeed,PsychicSensitivity,MentalBreakThreshold",Strange new ideas just appear in {PAWN_nameDef}'s mind. Researching new technologies comes easily to,
Joyous,欢乐,joyous,原版Anomaly,1,0,其他,中性,,joyous,,{PAWN_nameDef} has the ability to make everyone feel better and inspire them to be the best version ,
Leader,命定领袖,Natural leader,核SK,1,0.1,其他,中性,恶棍、害羞、无情、Abrasive、AnnoyingVoice、黑夜嗜好、Wimp、极端、Psychopath、天生领袖、Brawler、PsychicSensitivity、Nerves,Natural leader,"statOffsets:NegotiationAbility,SocialImpact,MentalBreakThreshold,PsychicSensitivity",{PAWN_nameDef} is a natural leader.,
Medic,医疗大师,poor medic,核SK,3,1,其他,中性,愚笨,poor medic / skilled medic / master medic,"statOffsets:MedicalSurgerySuccessChance,MedicalTendQuality","Even when they have the best of intentions, some people just aren't cut out for medicine. {PAWN_name",
Naive,天真,naive,核SK,1,0.2,其他,中性,格斗者、狂热者、Psychopath、恶棍、无情,naive,,"{PAWN_nameDef} is a generally happy and likable person, but death bothers {PAWN_objective} more than",
NeatFreak,挑刺,neat freak,核SK,1,0.3,其他,中性,邋遢鬼,neat freak,"statOffsets:WorkSpeedGlobal,FoodPoisonChance,ImmunityGainSpeed,MedicalSurgerySuccessChance,MedicalTendQuality,MedicalOperationSpeed,MedicalTendSpeed,GermContainment",{PAWN_nameDef} is fastidious to a fault.,
Neurotic,神经质,neurotic,原版Core,2,1,其他,中性,,neurotic / very neurotic,"statOffsets:WorkSpeedGlobal,MentalBreakThreshold",[PAWN_nameDef] likes to have things squared away. [PAWN_pronoun] will work harder than most to attai,
NightOwl,夜猫子,night owl,原版Core,1,1.3,其他,中性,,night owl,,"{PAWN_nameDef} likes to be up during the night, and sleep during the day.\n\n{PAWN_pronoun} gets a m",
Numb,无情,numb,核SK,1,0.2,其他,中性,Psychopath、天真、外向,numb,statOffsets:MentalBreakThreshold,{PAWN_nameDef} is emotionally numb and as such is very non-expressive about most things.,
Nyctophobe,黑夜嗜好,nyctophobe,核SK,2,0.3,其他,中性,,nyctophobe / nyctophile,,{PAWN_nameDef} is really afraid of the dark.,
Occultist,神秘学家,occultist,原版Anomaly,1,0,其他,中性,,occultist,"statOffsets:StudyEfficiency,EntityStudyRate",{PAWN_nameDef} has deep knowledge of the twisted patterns of dark psychic energy. {PAWN_pronoun} can,
PerfectMemory,完美记忆,perfect memory,原版Anomaly,1,0,其他,中性,,perfect memory,,"{PAWN_nameDef} has outstanding memory, both in terms of retaining information but also muscle memory",
Perfectionist,完美主义者,perfectionist,核SK,1,0.35,其他,中性,Industriousness、协调,perfectionist,"statOffsets:WorkSpeedGlobal,AnimalGatherYield,ButcheryFleshEfficiency,ButcheryMechanoidEfficiency,ConstructSuccessChance,FixBrokenDownBuildingSuccessChance,FoodPoisonChance,MedicalSurgerySuccessChance,MedicalTendQuality,MiningYield,PlantHarvestYield","{PAWN_nameDef} refuses to accept less than {PAWN_possessive} best in any endeavor, no matter how lon",
Personality,天生领袖,Silver Tongue,核SK,2,0.4,其他,中性,恶棍、害羞、无情、Abrasive、AnnoyingVoice、黑夜嗜好、Wimp、极端、Psychopath、命定领袖、Brawler、PsychicSensitivity,Silver Tongue / Born Leader,"statOffsets:NegotiationAbility,SocialImpact","{PAWN_nameDef} likes to talk and hates to fight, fortunately for {PAWN_objective}, {PAWN_pronoun}'s ",
Photophobia,惧光,photophobic,核SK,1,0.3,其他,中性,,photophobic,,"{PAWN_nameDef} has an aversion to light, prefering the safety of the dark.",
Pragmatist,实用至上,pragmatic,核SK,1,0.2,其他,中性,强硬、Psychopath、Cannibal,pragmatic,,"{PAWN_nameDef} is practical, and will cross any line if it serves {PAWN_objective} best. {PAWN_prono",
Pyrophobia,恐火症,pyrophobia,核SK,1,0.15,其他,中性,Pyromaniac,pyrophobia,,{PAWN_nameDef} hates fire. {PAWN_pronoun} will refuse to get close to fire to put it out.,
Reaver,格斗者,reaver,核SK,1,0.2,其他,中性,Psychopath、Abrasive、天真、Wimp、柔弱、胆小鬼,reaver,"statOffsets:AimingDelayFactor,ShootingAccuracyPawn;statFactors:MeleeHitChance",{PAWN_nameDef} has displayed a natural affinity for melee weapons and abhors ranged.,
Recluse,孤僻,recluse,原版Biotech,1,0.5,其他,中性,,recluse,,"The fewer people in {PAWN_nameDef}'s faction, the happier {PAWN_pronoun} is. Being alone is best of ",
Rockhound,岩石猎手,rockhound,核SK,1,0.3,其他,中性,协调、幽闭恐惧症、园艺高手,rockhound,"statOffsets:WorkSpeedGlobal,MiningSpeed,MiningYield,PlantHarvestYield,PlantWorkSpeed,SmoothingSpeed","{PAWN_nameDef} enjoys working with rocks. {PAWN_possessive} mining speed is increased, but {PAWN_pos",
Slow,缓慢,slow,核SK,1,0.3,其他,中性,快速、Nimble、SpeedOffset、狼吞虎咽、工作狂魔、Industriousness,slow,"statOffsets:WorkSpeedGlobal,MoveSpeed",{PAWN_nameDef} is abnormally slow.,
SlowLearner,迟钝学习,slow learner,原版Core,1,,其他,中性,TooSmart,slow learner,statOffsets:GlobalLearningFactor;statFactors:CertaintyLossFactor,{PAWN_nameDef} is slow on the uptake. {PAWN_pronoun} learns much slower than others.,
SpeedOffset,敏捷,slowpoke,原版Core,3,2,其他,中性,,slowpoke / fast walker / jogger,statOffsets:MoveSpeed,[PAWN_nameDef] is always falling behind the group whenever [PAWN_pronoun] goes anywhere.,
TooSmart,过于聪明,too smart,原版Core,1,,其他,中性,Nerves、SlowLearner,too smart,"statOffsets:GlobalLearningFactor,MentalBreakThreshold;statFactors:CertaintyLossFactor",{PAWN_nameDef} is too smart for {PAWN_possessive} own good. {PAWN_pronoun} learns everything much fa,
TorturedArtist,受折磨的艺术家,tortured artist,原版Core,1,0.6,其他,中性,,tortured artist,,{PAWN_nameDef} feels alienated and misunderstood by other human beings. {PAWN_pronoun} will have a c,
Trader,交易大师,sucker,核SK,3,1,其他,中性,Abrasive、AnnoyingVoice、CreepyBreathing、愚笨,sucker / haggler / master trader,statOffsets:TradePriceImprovement,{PAWN_nameDef} just can't seem to help but get taken advantage of while trading. {PAWN_pronoun}'ll p,
Transhumanist,超人类主义者,body modder,原版Core,1,0.9,其他,中性,BodyPurist,body modder,,{PAWN_nameDef} feels limited in {PAWN_possessive} feeble human body. {PAWN_pronoun} often dreams of ,
Undergrounder,深居简出,undergrounder,原版Core,1,0.2,其他,中性,,undergrounder,,{PAWN_nameDef} has no need to experience the outdoors or light. {PAWN_pronoun} will never feel coope,
VTE_AbsentMinded,胡思乱想,absent-minded,VTE,1,0.7,其他,中性,工作狂魔、虔诚、专一,absent-minded,statFactors:CertaintyLossFactor,"{PAWN_nameDef} tends to let {PAWN_possessive} mind drift, even in the middle of work. {PAWN_pronoun}",
VTE_Academian,学者,academian,VTE,1,0.8,其他,中性,SlowLearner,academian,statOffsets:MedicalTendQuality,"Through scholastic pursuit, {PAWN_nameDef} has become well-read. {PAWN_pronoun} excels in science an",
VTE_CatPerson,猫咪达人,cat person,VTE,1,1,其他,中性,狗狗达人,cat person,,"{PAWN_nameDef} enjoys the company of cats and gravitates toward bonding with them, but dislikes dogs",
VTE_DogPerson,狗狗达人,dog person,VTE,1,1,其他,中性,猫咪达人,dog person,,"{PAWN_nameDef} enjoys the company of dogs and gravitates toward bonding with them, but dislikes cats",
VTE_Eccentric,怪人,eccentric,VTE,1,0.8,其他,中性,SlowLearner,eccentric,statFactors:ResearchSpeed,"{PAWN_nameDef} has a screw loose, but it comes with a sharper scientific mind.",
VTE_Ecologist,生态学家,ecologist,VTE,1,0.8,其他,中性,,ecologist,"statOffsets:PlantHarvestYield,ButcheryFleshEfficiency","Flora and fauna are vital to {PAWN_nameDef}. {PAWN_pronoun} uses every part of plants and animals, a",
VTE_Groundbreaker,开拓者,groundbreaker,VTE,1,0.8,其他,中性,,groundbreaker,"statOffsets:MiningYield,ConstructionSpeed",{PAWN_nameDef} believes infrastructure is everything. {PAWN_pronoun} is a natural builder and stonew,
VTE_Kleptomaniac,盗窃癖,kleptomaniac,VTE,1,0.6,其他,中性,,kleptomaniac,,"{PAWN_nameDef} is compelled to steal, even from guests and allies, risking angering others.",
VTE_Lush,酒鬼,lush,VTE,1,0.9,其他,中性,DrugDesire,lush,,Alcohol is a way of life for {PAWN_nameDef}. {PAWN_pronoun} adores drinking and would rather die tha,
VTE_MadSurgeon,疯医,mad surgeon,VTE,1,0.6,其他,中性,,mad surgeon,statOffsets:SurgerySuccessChanceFactor,{PAWN_nameDef} hides a twisted obsession. {PAWN_pronoun} treats organ harvesting as a dark experimen,
VTE_Neat,爱干净,neat,VTE,1,1,其他,中性,邋遢鬼,neat,,{PAWN_nameDef} is naturally hygienic and organized. {PAWN_pronoun} doesn't track dirt or scatter tra,
VTE_Perfectionist,完美主义者,perfectionist,VTE,1,0.9,其他,中性,,perfectionist,statFactors:WorkSpeedGlobal,{PAWN_nameDef} strives for perfection in {PAWN_possessive} work. {PAWN_pronoun} produces higher-qual,
VTE_Rebel,叛逆,rebel,VTE,1,1,其他,中性,磨洋工,rebel,statFactors:CertaintyLossFactor,"{PAWN_nameDef} only plays by {PAWN_possessive} own rules. When forced, {PAWN_pronoun} will drag {PAW",
VTE_Snob,自命不凡,snob,VTE,1,1,其他,中性,Ascetic,snob,,"{PAWN_nameDef} believes they belong in high society, and loves nothing more than critiquing art and ",
Villian,恶棍,villian,核SK,1,0.2,其他,中性,命定领袖、天生领袖、Kind、自信、天真,villian,,{PAWN_nameDef} is the villian of this story.,
VoidFascination,虚空迷恋,void fascination,原版Anomaly,1,0,其他,中性,,void fascination,,{PAWN_nameDef} is strangely intrigued by unnatural entities and is easily enthralled by them.,
Weak,柔弱,weak,核SK,1,0.4,其他,中性,强壮、Abrasive、Nimble、强健、反应迅捷、格斗者、Brawler,weak,,{PAWN_nameDef} is exceptionally weak.,
AnimalLover,喜欢动物,animal lover,核SK,1,0.3,其他,正面,厌恶动物、屠夫、Psychopath,animal lover,"statOffsets:AnimalGatherSpeed,AnimalGatherYield,TameAnimalChance,TrainAnimalChance,NegotiationAbility,SocialImpact","{PAWN_nameDef} loves animals. {PAWN_pronoun} doesn't feel quite the same about people, though.",
BodyMastery,身体掌控,body mastery,原版Anomaly,1,0,其他,正面,,body mastery,,"{PAWN_nameDef} doesn't have basic needs like eating, sleeping, or comfort. {PAWN_possessive} body is",
ChaoticGenius,怪才,volatile genius,核SK,1,0.2,其他,正面,TooSmart、FastLearner、SlowLearner、愚笨、傻子,volatile genius,"statOffsets:GlobalLearningFactor,MentalBreakThreshold","{PAWN_nameDef} is unbelievably smart, however {PAWN_pronoun} is also extremely unstable",
Fast,快速,quick,核SK,1,0.4,其他,正面,缓慢、Abrasive、Brawler、SpeedOffset,quick,"statOffsets:WorkSpeedGlobal,MoveSpeed",{PAWN_nameDef} is abnormally quick.,
FastLearner,悟性高,fast learner,原版Core,1,,其他,正面,,fast learner,statOffsets:GlobalLearningFactor,{PAWN_nameDef} has a knack for learning. {PAWN_pronoun} picks things up much faster than others.,
GreatMemory,过目不忘,great memory,原版Core,1,1.1,其他,正面,,great memory,,{PAWN_nameDef} has a fantastic memory for detail. {PAWN_pronoun} will lose unused skills at half the,
NaturalMood,情绪稳定,sanguine,原版Core,4,2,其他,正面,,sanguine / optimist / pessimist / depressive,,"[PAWN_nameDef] is just naturally upbeat about [PAWN_possessive] situation, pretty much all the time,",
VTE_AnimalLover,动物爱好者,animal lover,VTE,1,1,其他,正面,仇兽者,animal lover,,{PAWN_nameDef} can't stand cruelty toward animals. {PAWN_pronoun} feels happier when nuzzled or acti,
VTE_ChildOfMountain,山地爱好者,Mountain lover,VTE,1,1,其他,正面,,Mountain lover,,The mountains call to {PAWN_nameDef}. {PAWN_pronoun} feels happier when near a large mountain.,
VTE_ChildOfSea,海洋爱好者,Ocean lover,VTE,1,1,其他,正面,,Ocean lover,,The sea calls to {PAWN_nameDef}. {PAWN_pronoun} feels happier when near the ocean or a deep river.,
VTE_DrunkenMaster,醉拳,drunken master,VTE,1,0.5,其他,正面,,drunken master,,{PAWN_nameDef} fights best when drunk. {PAWN_pronoun} grows more dangerous in melee the more intoxic,
VTE_Menagerist,饲养员,menagerist,VTE,1,0.6,其他,正面,仇兽者,menagerist,"statFactors:TameAnimalChance,TrainAnimalChance",{PAWN_nameDef} believes animals are essential to life and society. {PAWN_pronoun} feels happier with,
VTE_RefinedPalate,美食家,refined palate,VTE,1,0.6,其他,正面,Ascetic,refined palate,statFactors:EatingSpeed,"Only the finest meals satisfy {PAWN_nameDef}. {PAWN_pronoun} feels indifferent toward ordinary food,",
VTE_ThickSkinned,皮糙肉厚,thick skinned,VTE,1,0.6,其他,正面,细皮嫩肉,thick skinned,,{PAWN_nameDef} is strangely hypercoagulating and will bleed much more slowly than most.,
CreepyBreathing,毛骨悚然,creepy breathing,原版Core,1,0.5,其他,负面,,creepy breathing,,"{PAWN_nameDef} breathes heavily all the time, and sweats constantly. People find it creepy.",
Ignorant,愚笨,dunce,核SK,1,0.15,其他,负面,TooSmart、FastLearner、SlowLearner、发明家、建筑工、怪才、傻子、化学家、美食家、医疗大师、交易大师、外交大师,dunce,"statOffsets:GlobalLearningFactor,ResearchSpeed","{PAWN_nameDef} is a bit of a dunce, and learns at a slower rate than others.",
Paranoid,偏执,paranoid,核SK,1,0.3,其他,负面,自信、强硬,paranoid,statOffsets:MentalBreakThreshold;statFactors:CertaintyLossFactor,{PAWN_nameDef} believes that everyone is out to get {PAWN_objective} and for the first time in {PAWN,
Pyromaniac,纵火狂,pyromaniac,原版Core,1,0.8,其他,负面,,pyromaniac,,"{PAWN_nameDef} loves fire. {PAWN_pronoun} will never extinguish fires, and will occasionally go on r",
VTE_AnimalHater,仇兽者,animal hater,VTE,1,0.5,其他,负面,动物爱好者、猫咪达人、狗狗达人、饲养员,animal hater,,{PAWN_nameDef} believes in human superiority over animals. {PAWN_pronoun} dislikes bonding or being ,
VTE_Anxious,忧虑,anxious,VTE,1,1,其他,负面,贪玩、Nerves、粗暴,anxious,statFactors:CertaintyLossFactor,"{PAWN_nameDef} is naturally anxious, especially in social situations. {PAWN_pronoun} avoids gatherin",
VTE_Clumsy,笨手笨脚,clumsy,VTE,1,1,其他,负面,Nimble,clumsy,,"Minor bruises and scrapes plague {PAWN_nameDef}, usually from tripping or falling due to poor coordi",
VTE_Coward,胆小鬼,coward,VTE,1,1,其他,负面,勇敢、Bloodlust、Brawler、格斗者,coward,,"{PAWN_nameDef}'s instincts lean heavily toward cowardice. In danger, {PAWN_pronoun} will often hide ",
VTE_Desensitized,冷漠,desensitized,VTE,1,0.6,其他,负面,娇气、自信,desensitized,statFactors:CertaintyLossFactor,"{PAWN_nameDef} is hardened by old emotional trauma. {PAWN_pronoun} feels nothing from death or loss,",
VTE_Dunce,白痴,dunce,VTE,1,0.7,其他,负面,学者、怪人、天才、商业大亨、FastLearner、TooSmart,dunce,"statOffsets:GlobalLearningFactor,SocialImpact;statFactors:CertaintyLossFactor",{PAWN_nameDef} has limited mental capacity. {PAWN_pronoun} learns slowly and struggles with conversa,
VTE_Insomniac,失眠症,insomniac,VTE,1,0.7,其他,负面,沉睡者,insomniac,"statFactors:WorkSpeedGlobal,MoveSpeed,CertaintyLossFactor","{PAWN_nameDef} is never fully asleep or awake. {PAWN_pronoun} lurches along in a slow, shambler-like",
VTE_Schizoid,精神分裂症,schizoid,VTE,1,0.3,其他,负面,Nerves、粗暴、虔诚、专一,schizoid,,{PAWN_nameDef} bottles up {PAWN_possessive} feelings for long stretches of time. When the pressure g,
VTE_Slob,邋遢鬼,slob,VTE,1,0.8,其他,负面,爱干净、挑刺,slob,,"{PAWN_nameDef} is naturally sloppy, leaving trash and dirt scattered around. At least {PAWN_pronoun}",
VTE_Squeamish,娇气,squeamish,VTE,1,0.9,其他,负面,冷漠、铁胃、Bloodlust,squeamish,,{PAWN_nameDef} gets a sour stomach around blood or corpses. Vomiting is just part of life for {PAWN_,
VTE_Stoner,烟鬼,stoner,VTE,1,0.9,其他,负面,DrugDesire,stoner,,Smokeleaf is a way of life for {PAWN_nameDef}. {PAWN_pronoun} adores it and would rather die than gi,
VTE_Submissive,磨洋工,submissive,VTE,1,0.5,其他,负面,叛逆,submissive,statFactors:CertaintyLossFactor,{PAWN_nameDef} needs clear direction on when and how to act. {PAWN_pronoun} works at normal speed on,
VTE_Technophobe,科技恐惧症,technophobe,VTE,1,0.6,其他,负面,Transhumanist,technophobe,,"Whether from trauma or fear of change, {PAWN_nameDef} rejects modernity. {PAWN_pronoun} may lash out",
VTE_ThinSkinned,细皮嫩肉,thin skinned,VTE,1,0.6,其他,负面,皮糙肉厚,thin skinned,,{PAWN_nameDef} is strangely hemophilic and tends to bleed much more profusely than others.,
VTE_Vengeful,记仇,vengeful,VTE,1,0.7,其他,负面,Kind,vengeful,statFactors:CertaintyLossFactor,"{PAWN_nameDef} is fueled by spite. {PAWN_pronoun} can’t stand sharing the colony with rivals, and fe",
VTE_WorldWeary,厌世,world weary,VTE,1,0.8,其他,负面,自信,world weary,,"{PAWN_nameDef} has grown tired of the world. {PAWN_pronoun} struggles with bleak thoughts, making {P",
