行为维度,数据源,触发说明,正向阈值,正向特性,负向阈值,负向特性,冷却天数,冲突处理,授予概率
体质抗病,跨季少病,长期耐病快免疫,--,Constitution:1,--,--,365,与Weak/Strong冲突;无独立数据源暂不触发,0.05
温度-耐热,长期酷热劳作,高温环境下收工,160次,HeatLover,--,--,365,HeatLover与ColdLover互斥,0.05
温度-耐寒,长期酷寒劳作,低温环境下收工,160次,ColdLover,--,--,365,HeatLover与ColdLover互斥,0.05
进食习惯,快速进食,长期狼吞虎咽,100次,EatingSpeed:1,--,--,365,--,0.05
孤独倾向,独处多,偏好独处,120天独处,Recluse,--,--,365,--,0.05
压力崩溃,精神崩溃发作,长期高压多次崩溃,--,--,48次崩溃,VTE_WorldWeary,365,真正的负向独立计数器,0.02
唯美追求,艺术欣赏/制作,长期艺术创作,80件,Aesthete,--,--,365,与Ascetic冲突,0.05
作息-夜行,夜间劳作/娱乐(22:00-06:00收工),长期昼夜颠倒,240个夜班,HSK_NightOwl,--,--,365,夜猫子与早起鸟互斥,0.05
作息-晨行,晨间劳作(05:00-09:00收工),长期规律晨间开工,240次晨工,HSK_EarlyRiser,--,--,365,★修正:旧表把早起鸟当作夜行的负向结果(熬夜多反获早起鸟)、现改为独立晨间计数器,0.05
阅读,阅读娱乐JobDef,长期阅读,100本书,HSK_Bookworm,--,--,365,无冲突,0.05
音乐演奏,演奏乐器娱乐,长期演奏,120场演奏,HSK_Musician,--,--,365,无冲突,0.05
健身,健身训练娱乐,长期锻炼,160次训练,HSK_GymRat,--,--,365,与Wimp冲突,0.05
冥想,冥想修持,长期冥想,100次冥想,HSK_Meditator,--,--,365,与Bloodlust冲突,0.05
棋牌,策略益智娱乐,长期对弈,120局,HSK_Tactician,--,--,365,无冲突,0.05
饮食健康,规律摄入正餐,长期按时吃正餐,120次进餐,HSK_HealthNut,--,--,365,养生者与暴食者互斥,0.05
饮食放纵,甜点/成瘾性零食,长期贪嘴,--,HSK_Glutton,--,--,365,1.6 无可靠廉价数据源区分甜点与正餐、暂不接入行为计数(特性仍可随漂移退场),0.02
